clip_id,label,signer,filename,frames,n_frames,pose_rate,lh_rate,rh_rate,face_rate,any_hand_rate,both_hand_rate
baba__Britney_001,baba,Britney,Britney_001.mp4,18,18,1.0,0.2777777777777778,0.6111111111111112,1.0,0.6111111111111112,0.2777777777777778
baba__Britney_002,baba,Britney,Britney_002.mp4,26,26,1.0,0.19230769230769232,0.8076923076923077,1.0,0.8076923076923077,0.19230769230769232
baba__Britney_003,baba,Britney,Britney_003.mp4,41,41,1.0,0.34146341463414637,0.4634146341463415,1.0,0.4634146341463415,0.34146341463414637
baba__Britney_004,baba,Britney,Britney_004.mp4,19,19,1.0,0.0,0.3684210526315789,1.0,0.3684210526315789,0.0
baba__Britney_005,baba,Britney,Britney_005.mp4,24,24,1.0,0.16666666666666666,0.8333333333333334,1.0,0.8333333333333334,0.16666666666666666
baba__Britney_006,baba,Britney,Britney_006.mp4,20,20,1.0,0.7,0.6,1.0,0.7,0.6
baba__Britney_007,baba,Britney,Britney_007.mp4,22,22,1.0,0.6363636363636364,0.5,1.0,0.6363636363636364,0.5
baba__Britney_008,baba,Britney,Britney_008.mp4,36,36,1.0,0.3333333333333333,0.4444444444444444,1.0,0.4444444444444444,0.3333333333333333
baba__Britney_009,baba,Britney,Britney_009.mp4,23,23,1.0,0.17391304347826086,0.30434782608695654,1.0,0.30434782608695654,0.17391304347826086
baba__Britney_010,baba,Britney,Britney_010.mp4,21,21,1.0,0.42857142857142855,0.5714285714285714,1.0,0.5714285714285714,0.42857142857142855
baba__Britney_011,baba,Britney,Britney_011.mp4,25,25,1.0,0.28,0.32,1.0,0.32,0.28
baba__Britney_012,baba,Britney,Britney_012.mp4,29,29,1.0,0.13793103448275862,0.3103448275862069,1.0,0.3103448275862069,0.13793103448275862
baba__Britney_013,baba,Britney,Britney_013.mp4,22,22,1.0,0.2727272727272727,0.3181818181818182,1.0,0.3181818181818182,0.2727272727272727
baba__Britney_014,baba,Britney,Britney_014.mp4,18,18,1.0,0.7222222222222222,0.5555555555555556,1.0,0.7222222222222222,0.5555555555555556
baba__Britney_015,baba,Britney,Britney_015.mp4,20,20,1.0,0.7,0.25,1.0,0.7,0.25
baba__Britney_016,baba,Britney,Britney_016.mp4,21,21,1.0,0.6666666666666666,0.7619047619047619,1.0,0.7619047619047619,0.6666666666666666
baba__Britney_017,baba,Britney,Britney_017.mp4,23,23,1.0,0.7391304347826086,0.5652173913043478,1.0,0.7391304347826086,0.5652173913043478
baba__Britney_018,baba,Britney,Britney_018.mp4,21,21,1.0,0.8095238095238095,0.5714285714285714,1.0,0.8095238095238095,0.5714285714285714
baba__Britney_019,baba,Britney,Britney_019.mp4,22,22,1.0,0.7272727272727273,0.3181818181818182,1.0,0.7272727272727273,0.3181818181818182
baba__Britney_020,baba,Britney,Britney_020.mp4,24,24,1.0,0.625,0.4166666666666667,1.0,0.625,0.4166666666666667
baba__Britney_021,baba,Britney,Britney_021.mp4,26,26,1.0,0.9230769230769231,0.4230769230769231,1.0,0.9230769230769231,0.4230769230769231
baba__Britney_022,baba,Britney,Britney_022.mp4,21,21,1.0,0.47619047619047616,0.6190476190476191,1.0,0.6190476190476191,0.47619047619047616
baba__Britney_023,baba,Britney,Britney_023.mp4,25,25,1.0,0.64,0.6,1.0,0.64,0.6
baba__Britney_024,baba,Britney,Britney_024.mp4,19,19,1.0,0.6842105263157895,0.5789473684210527,1.0,0.6842105263157895,0.5789473684210527
baba__Britney_025,baba,Britney,Britney_025.mp4,22,22,1.0,0.7727272727272727,0.7272727272727273,1.0,0.7727272727272727,0.7272727272727273
baba__Britney_026,baba,Britney,Britney_026.mp4,26,26,1.0,0.9615384615384616,0.7307692307692307,1.0,0.9615384615384616,0.7307692307692307
baba__Britney_027,baba,Britney,Britney_027.mp4,27,27,1.0,0.48148148148148145,0.48148148148148145,1.0,0.48148148148148145,0.48148148148148145
baba__Britney_028,baba,Britney,Britney_028.mp4,21,21,1.0,0.6190476190476191,0.8571428571428571,1.0,0.8571428571428571,0.6190476190476191
baba__Britney_029,baba,Britney,Britney_029.mp4,17,17,1.0,0.8823529411764706,0.7058823529411765,1.0,0.8823529411764706,0.7058823529411765
baba__Britney_030,baba,Britney,Britney_030.mp4,24,24,1.0,0.5416666666666666,0.5,1.0,0.5416666666666666,0.5
baba__Britney_031,baba,Britney,Britney_031.mp4,28,28,1.0,0.6428571428571429,0.6071428571428571,1.0,0.6428571428571429,0.6071428571428571
baba__Britney_032,baba,Britney,Britney_032.mp4,25,25,1.0,0.32,0.88,1.0,0.88,0.32
baba__Britney_033,baba,Britney,Britney_033.mp4,26,26,1.0,0.6923076923076923,0.5384615384615384,1.0,0.6923076923076923,0.5384615384615384
baba__Britney_034,baba,Britney,Britney_034.mp4,28,28,1.0,0.32142857142857145,0.5357142857142857,1.0,0.5357142857142857,0.32142857142857145
baba__Britney_035,baba,Britney,Britney_035.mp4,27,27,1.0,0.5925925925925926,0.7037037037037037,1.0,0.7037037037037037,0.5925925925925926
