path,label,filename,signer,take,frames,fps,seconds,width,height,readable,clip_id
/Volumes/MacX/Sw/raw_videos/baba/Britney_001.mp4,baba,Britney_001.mp4,Britney,1,18,30.0,0.6,1920,1080,True,baba__Britney_001
/Volumes/MacX/Sw/raw_videos/baba/Britney_002.mp4,baba,Britney_002.mp4,Britney,2,26,30.0,0.867,1920,1080,True,baba__Britney_002
/Volumes/MacX/Sw/raw_videos/baba/Britney_003.mp4,baba,Britney_003.mp4,Britney,3,41,30.0,1.367,1920,1080,True,baba__Britney_003
/Volumes/MacX/Sw/raw_videos/baba/Britney_004.mp4,baba,Britney_004.mp4,Britney,4,19,30.0,0.633,1920,1080,True,baba__Britney_004
/Volumes/MacX/Sw/raw_videos/baba/Britney_005.mp4,baba,Britney_005.mp4,Britney,5,24,30.0,0.8,1920,1080,True,baba__Britney_005
/Volumes/MacX/Sw/raw_videos/baba/Britney_006.mp4,baba,Britney_006.mp4,Britney,6,20,30.0,0.667,1920,1080,True,baba__Britney_006
/Volumes/MacX/Sw/raw_videos/baba/Britney_007.mp4,baba,Britney_007.mp4,Britney,7,22,30.0,0.733,1920,1080,True,baba__Britney_007
/Volumes/MacX/Sw/raw_videos/baba/Britney_008.mp4,baba,Britney_008.mp4,Britney,8,36,30.0,1.2,1920,1080,True,baba__Britney_008
/Volumes/MacX/Sw/raw_videos/baba/Britney_009.mp4,baba,Britney_009.mp4,Britney,9,23,30.0,0.767,1920,1080,True,baba__Britney_009
/Volumes/MacX/Sw/raw_videos/baba/Britney_010.mp4,baba,Britney_010.mp4,Britney,10,21,30.0,0.7,1920,1080,True,baba__Britney_010
/Volumes/MacX/Sw/raw_videos/baba/Britney_011.mp4,baba,Britney_011.mp4,Britney,11,25,30.0,0.833,1920,1080,True,baba__Britney_011
/Volumes/MacX/Sw/raw_videos/baba/Britney_012.mp4,baba,Britney_012.mp4,Britney,12,29,30.0,0.967,1920,1080,True,baba__Britney_012
/Volumes/MacX/Sw/raw_videos/baba/Britney_013.mp4,baba,Britney_013.mp4,Britney,13,22,30.0,0.733,1920,1080,True,baba__Britney_013
/Volumes/MacX/Sw/raw_videos/baba/Britney_014.mp4,baba,Britney_014.mp4,Britney,14,18,30.0,0.6,1920,1080,True,baba__Britney_014
/Volumes/MacX/Sw/raw_videos/baba/Britney_015.mp4,baba,Britney_015.mp4,Britney,15,20,30.0,0.667,1920,1080,True,baba__Britney_015
/Volumes/MacX/Sw/raw_videos/baba/Britney_016.mp4,baba,Britney_016.mp4,Britney,16,21,30.0,0.7,1920,1080,True,baba__Britney_016
/Volumes/MacX/Sw/raw_videos/baba/Britney_017.mp4,baba,Britney_017.mp4,Britney,17,23,30.0,0.767,1920,1080,True,baba__Britney_017
/Volumes/MacX/Sw/raw_videos/baba/Britney_018.mp4,baba,Britney_018.mp4,Britney,18,21,30.0,0.7,1920,1080,True,baba__Britney_018
/Volumes/MacX/Sw/raw_videos/baba/Britney_019.mp4,baba,Britney_019.mp4,Britney,19,22,30.0,0.733,1920,1080,True,baba__Britney_019
/Volumes/MacX/Sw/raw_videos/baba/Britney_020.mp4,baba,Britney_020.mp4,Britney,20,24,30.0,0.8,1920,1080,True,baba__Britney_020
/Volumes/MacX/Sw/raw_videos/baba/Britney_021.mp4,baba,Britney_021.mp4,Britney,21,26,30.0,0.867,1920,1080,True,baba__Britney_021
/Volumes/MacX/Sw/raw_videos/baba/Britney_022.mp4,baba,Britney_022.mp4,Britney,22,21,30.0,0.7,1920,1080,True,baba__Britney_022
/Volumes/MacX/Sw/raw_videos/baba/Britney_023.mp4,baba,Britney_023.mp4,Britney,23,25,30.0,0.833,1920,1080,True,baba__Britney_023
/Volumes/MacX/Sw/raw_videos/baba/Britney_024.mp4,baba,Britney_024.mp4,Britney,24,19,30.0,0.633,1920,1080,True,baba__Britney_024
/Volumes/MacX/Sw/raw_videos/baba/Britney_025.mp4,baba,Britney_025.mp4,Britney,25,22,30.0,0.733,1920,1080,True,baba__Britney_025
/Volumes/MacX/Sw/raw_videos/baba/Britney_026.mp4,baba,Britney_026.mp4,Britney,26,26,30.0,0.867,1920,1080,True,baba__Britney_026
/Volumes/MacX/Sw/raw_videos/baba/Britney_027.mp4,baba,Britney_027.mp4,Britney,27,27,30.0,0.9,1920,1080,True,baba__Britney_027
/Volumes/MacX/Sw/raw_videos/baba/Britney_028.mp4,baba,Britney_028.mp4,Britney,28,21,30.0,0.7,1920,1080,True,baba__Britney_028
/Volumes/MacX/Sw/raw_videos/baba/Britney_029.mp4,baba,Britney_029.mp4,Britney,29,17,30.0,0.567,1920,1080,True,baba__Britney_029
/Volumes/MacX/Sw/raw_videos/baba/Britney_030.mp4,baba,Britney_030.mp4,Britney,30,24,30.0,0.8,1920,1080,True,baba__Britney_030
/Volumes/MacX/Sw/raw_videos/baba/Britney_031.mp4,baba,Britney_031.mp4,Britney,31,28,30.0,0.933,1920,1080,True,baba__Britney_031
/Volumes/MacX/Sw/raw_videos/baba/Britney_032.mp4,baba,Britney_032.mp4,Britney,32,25,30.0,0.833,1920,1080,True,baba__Britney_032
/Volumes/MacX/Sw/raw_videos/baba/Britney_033.mp4,baba,Britney_033.mp4,Britney,33,26,30.0,0.867,1920,1080,True,baba__Britney_033
/Volumes/MacX/Sw/raw_videos/baba/Britney_034.mp4,baba,Britney_034.mp4,Britney,34,28,30.0,0.933,1920,1080,True,baba__Britney_034
/Volumes/MacX/Sw/raw_videos/baba/Britney_035.mp4,baba,Britney_035.mp4,Britney,35,27,30.0,0.9,1920,1080,True,baba__Britney_035
/Volumes/MacX/Sw/raw_videos/baba/Britney_036.mp4,baba,Britney_036.mp4,Britney,36,38,30.0,1.267,1920,1080,True,baba__Britney_036
/Volumes/MacX/Sw/raw_videos/baba/Britney_037.mp4,baba,Britney_037.mp4,Britney,37,22,30.0,0.733,1920,1080,True,baba__Britney_037
/Volumes/MacX/Sw/raw_videos/baba/Britney_038.mp4,baba,Britney_038.mp4,Britney,38,23,30.0,0.767,1920,1080,True,baba__Britney_038
/Volumes/MacX/Sw/raw_videos/baba/Britney_039.mp4,baba,Britney_039.mp4,Britney,39,29,30.0,0.967,1920,1080,True,baba__Britney_039
/Volumes/MacX/Sw/raw_videos/baba/Britney_040.mp4,baba,Britney_040.mp4,Britney,40,21,30.0,0.7,1920,1080,True,baba__Britney_040
/Volumes/MacX/Sw/raw_videos/baba/Britney_041.mp4,baba,Britney_041.mp4,Britney,41,23,30.0,0.767,1920,1080,True,baba__Britney_041
/Volumes/MacX/Sw/raw_videos/baba/Britney_042.mp4,baba,Britney_042.mp4,Britney,42,16,30.0,0.533,1920,1080,True,baba__Britney_042
/Volumes/MacX/Sw/raw_videos/baba/Britney_043.mp4,baba,Britney_043.mp4,Britney,43,21,30.0,0.7,1920,1080,True,baba__Britney_043
/Volumes/MacX/Sw/raw_videos/baba/Britney_044.mp4,baba,Britney_044.mp4,Britney,44,18,30.0,0.6,1920,1080,True,baba__Britney_044
/Volumes/MacX/Sw/raw_videos/baba/Britney_045.mp4,baba,Britney_045.mp4,Britney,45,24,30.0,0.8,1920,1080,True,baba__Britney_045
/Volumes/MacX/Sw/raw_videos/baba/Britney_046.mp4,baba,Britney_046.mp4,Britney,46,35,30.0,1.167,1920,1080,True,baba__Britney_046
/Volumes/MacX/Sw/raw_videos/baba/Britney_047.mp4,baba,Britney_047.mp4,Britney,47,26,30.0,0.867,1920,1080,True,baba__Britney_047
/Volumes/MacX/Sw/raw_videos/baba/Britney_048.mp4,baba,Britney_048.mp4,Britney,48,25,30.0,0.833,1920,1080,True,baba__Britney_048
/Volumes/MacX/Sw/raw_videos/baba/Britney_049.mp4,baba,Britney_049.mp4,Britney,49,22,30.0,0.733,1920,1080,True,baba__Britney_049
/Volumes/MacX/Sw/raw_videos/baba/Britney_050.mp4,baba,Britney_050.mp4,Britney,50,22,30.0,0.733,1920,1080,True,baba__Britney_050
/Volumes/MacX/Sw/raw_videos/baba/Britney_051.mp4,baba,Britney_051.mp4,Britney,51,35,30.0,1.167,1920,1080,True,baba__Britney_051
/Volumes/MacX/Sw/raw_videos/baba/Britney_052.mp4,baba,Britney_052.mp4,Britney,52,17,30.0,0.567,1920,1080,True,baba__Britney_052
/Volumes/MacX/Sw/raw_videos/baba/Britney_053.mp4,baba,Britney_053.mp4,Britney,53,18,30.0,0.6,1920,1080,True,baba__Britney_053
/Volumes/MacX/Sw/raw_videos/baba/Britney_054.mp4,baba,Britney_054.mp4,Britney,54,16,30.0,0.533,1920,1080,True,baba__Britney_054
/Volumes/MacX/Sw/raw_videos/baba/Britney_055.mp4,baba,Britney_055.mp4,Britney,55,18,30.0,0.6,1920,1080,True,baba__Britney_055
/Volumes/MacX/Sw/raw_videos/baba/Britney_056.mp4,baba,Britney_056.mp4,Britney,56,20,30.0,0.667,1920,1080,True,baba__Britney_056
/Volumes/MacX/Sw/raw_videos/baba/Britney_057.mp4,baba,Britney_057.mp4,Britney,57,24,30.0,0.8,1920,1080,True,baba__Britney_057
/Volumes/MacX/Sw/raw_videos/baba/Britney_058.mp4,baba,Britney_058.mp4,Britney,58,25,30.0,0.833,1920,1080,True,baba__Britney_058
/Volumes/MacX/Sw/raw_videos/baba/Britney_059.mp4,baba,Britney_059.mp4,Britney,59,25,30.0,0.833,1920,1080,True,baba__Britney_059
/Volumes/MacX/Sw/raw_videos/baba/Britney_060.mp4,baba,Britney_060.mp4,Britney,60,25,30.0,0.833,1920,1080,True,baba__Britney_060
/Volumes/MacX/Sw/raw_videos/baba/Grace_001.mp4,baba,Grace_001.mp4,Grace,1,21,30.0,0.7,1920,1080,True,baba__Grace_001
